"parameter","estimate","se","rse","shrinkage","file"
"ETA1",0.0781,0.0358,45.8386683738796,NA,"NM_0_012_244.lst"
"ETA1",0.027,0.126,466.666666666667,NA,"NM_0_012_2498.lst"
"ETA1",0.0451,0.00128,2.83813747228381,NA,"NM_0_012_2659.lst"
"ETA1",0.0313,0.0179,57.1884984025559,NA,"NM_0_012_2820.lst"
"ETA1",0.0346,0.263,760.115606936416,NA,"NM_0_012_2981.lst"
"ETA1",0.311,0.354,113.826366559486,NA,"NM_0_012_3142.lst"
"ETA1",0.0346,0.263,760.115606936416,NA,"NM_0_012_3303.lst"
"ETA1",0.0424,0.00265,6.25,NA,"NM_0_012_3464.lst"
"ETA1",0.0309,0.0145,46.9255663430421,NA,"NM_0_012_3625.lst"
"ETA1",0.314,0,0,NA,"NM_0_012_3786.lst"
"ETA1",0.282,0.000673,0.238652482269504,NA,"NM_0_012_3947.lst"
"ETA1",0.0222,0.000215,0.968468468468468,NA,"NM_0_012_405.lst"
"ETA1",0.0215,0.026,120.93023255814,NA,"NM_0_012_4108.lst"
"ETA1",0.0227,0.0624,274.88986784141,NA,"NM_0_012_4269.lst"
"ETA1",0.0262,0.013,49.618320610687,NA,"NM_0_012_4430.lst"
"ETA1",0.0318,0.000616,1.93710691823899,NA,"NM_0_012_4591.lst"
"ETA1",0.0225,0.011,48.8888888888889,NA,"NM_0_012_4752.lst"
"ETA1",0.0183,0.000312,1.70491803278689,NA,"NM_0_012_566.lst"
"ETA1",0.018,0.000803,4.46111111111111,NA,"NM_0_012_727.lst"
"ETA1",0.0204,0.156,764.705882352941,NA,"NM_0_012_888.lst"
"ETA1",0.424,0.219,51.6509433962264,NA,"NM_0_0120.lst"
"ETA2",0.0401,0.0146,36.4089775561097,NA,"NM_0_0120.lst"
"ETA1",0.0691,0.0291,42.1128798842258,NA,"NM_0_0127.lst"
"ETA2",0.402,0.218,54.228855721393,NA,"NM_0_0127.lst"
"ETA3",0.0192,0.00809,42.1354166666667,NA,"NM_0_0127.lst"
"ETA1",0.0686,0.041,59.7667638483965,NA,"NM_0_0128.lst"
"ETA2",0.394,0.212,53.8071065989848,NA,"NM_0_0128.lst"
"ETA3",0.0175,0.0079,45.1428571428571,NA,"NM_0_0128.lst"
"ETA1",0.0654,0.0374,57.1865443425077,NA,"NM_0_0129.lst"
"ETA2",0.396,0.213,53.7878787878788,NA,"NM_0_0129.lst"
"ETA3",0.0181,0.00806,44.5303867403315,NA,"NM_0_0129.lst"
"ETA1",0.125,0.077,61.6,NA,"NM_0_013.lst"
"ETA1",0.0646,0.0285,44.1176470588235,NA,"NM_0_0136.lst"
"ETA2",0.438,0.241,55.0228310502283,NA,"NM_0_0136.lst"
"ETA3",0.0183,0.0061,33.3333333333333,NA,"NM_0_0136.lst"
"ETA1",0.0698,0.0409,58.5959885386819,NA,"NM_0_0137.lst"
"ETA2",0.429,0.234,54.5454545454546,NA,"NM_0_0137.lst"
